Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
CHD_49,PCC_LogisticRegression,Predict Markedness,Markedness,0.733809,1,lr
CHD_49,PCC_LogisticRegression,Predict Markedness,Fmeasure Score,0.638308,1,lr
CHD_49,PCC_LogisticRegression,Predict Markedness,Informedness,0.589359,1,lr
CHD_49,PCC_LogisticRegression,Predict Markedness,Macro F1,0.561758,1,lr
CHD_49,PCC_LogisticRegression,Predict Markedness,Micro F1,0.671166,1,lr
CHD_49,PCC_LogisticRegression,Predict Fmeasure,Hamming Accuracy,0.682197,1,lr
CHD_49,PCC_LogisticRegression,Predict Fmeasure,Subset Accuracy,0.130097,1,lr
CHD_49,PCC_LogisticRegression,Predict Fmeasure,Precision Score,0.607782,1,lr
CHD_49,PCC_LogisticRegression,Predict Fmeasure,Negative Predictive Value,0.831413,1,lr
CHD_49,PCC_LogisticRegression,Predict Fmeasure,Recall Score,0.830913,1,lr
CHD_49,PCC_LogisticRegression,Predict Fmeasure,Markedness,0.719596,1,lr
CHD_49,PCC_LogisticRegression,Predict Fmeasure,Fmeasure Score,0.673997,1,lr
CHD_49,PCC_LogisticRegression,Predict Fmeasure,Informedness,0.584335,1,lr
CHD_49,PCC_LogisticRegression,Predict Fmeasure,Macro F1,0.583371,1,lr
CHD_49,PCC_LogisticRegression,Predict Fmeasure,Micro F1,0.693221,1,lr
CHD_49,PCC_LogisticRegression,Predict Informedness,Hamming Accuracy,0.704061,1,lr
CHD_49,PCC_LogisticRegression,Predict Informedness,Subset Accuracy,0.14974,1,lr
CHD_49,PCC_LogisticRegression,Predict Informedness,Precision Score,0.646374,1,lr
CHD_49,PCC_LogisticRegression,Predict Informedness,Negative Predictive Value,0.782379,1,lr
CHD_49,PCC_LogisticRegression,Predict Informedness,Recall Score,0.739273,1,lr
CHD_49,PCC_LogisticRegression,Predict Informedness,Markedness,0.714379,1,lr
CHD_49,PCC_LogisticRegression,Predict Informedness,Fmeasure Score,0.662863,1,lr
CHD_49,PCC_LogisticRegression,Predict Informedness,Informedness,0.592208,1,lr
CHD_49,PCC_LogisticRegression,Predict Informedness,Macro F1,0.574172,1,lr
CHD_49,PCC_LogisticRegression,Predict Informedness,Micro F1,0.682587,1,lr
CHD_49,PCC_LogisticRegression,Marginal Scores,One-Error Score,0.742565,1,lr
CHD_49,PCC_LogisticRegression,Marginal Scores,Coverage Score,0.455623,1,lr
CHD_49,PCC_LogisticRegression,Marginal Scores,Ranking Loss Score,0.787709,1,lr
CHD_49,PCC_LogisticRegression,Marginal Scores,Average Precision,0.794502,1,lr
CHD_49,BR_LogisticRegression,Predict Hamming,Hamming Accuracy,0.70828,1,lr
CHD_49,BR_LogisticRegression,Predict Hamming,Subset Accuracy,0.176819,1,lr
CHD_49,BR_LogisticRegression,Predict Hamming,Precision Score,0.667914,1,lr
CHD_49,BR_LogisticRegression,Predict Hamming,Negative Predictive Value,0.760736,1,lr
CHD_49,BR_LogisticRegression,Predict Hamming,Recall Score,0.670088,1,lr
CHD_49,BR_LogisticRegression,Predict Hamming,Markedness,0.714325,1,lr
CHD_49,BR_LogisticRegression,Predict Hamming,Fmeasure Score,0.639429,1,lr
CHD_49,BR_LogisticRegression,Predict Hamming,Informedness,0.592687,1,lr
CHD_49,BR_LogisticRegression,Predict Hamming,Macro F1,0.563909,1,lr
CHD_49,BR_LogisticRegression,Predict Hamming,Micro F1,0.665895,1,lr
CHD_49,BR_LogisticRegression,Predict Subset,Hamming Accuracy,0.70828,1,lr
CHD_49,BR_LogisticRegression,Predict Subset,Subset Accuracy,0.176819,1,lr
CHD_49,BR_LogisticRegression,Predict Subset,Precision Score,0.667914,1,lr
